1,1,1,1
1,2,1,1
1,5,1,6
1,10,1,4
2,1,1,5
2,2,1,8
2,5,1,7
2,10,1,3
5,1,1,6
5,2,1,5
5,5,1,7
5,10,1,4
10,1,1,6
10,2,1,6
10,5,1,10
10,10,1,6
1,1,2,3
1,2,2,5
1,5,2,3
1,10,2,3
2,1,2,6
2,2,2,11
2,5,2,8
2,10,2,4
5,1,2,9
5,2,2,7
5,5,2,6
5,10,2,12
10,1,2,3
10,2,2,6
10,5,2,8
10,10,2,8
1,1,5,7
1,2,5,4
1,5,5,6
1,10,5,4
2,1,5,5
2,2,5,9
2,5,5,11
2,10,5,3
5,1,5,8
5,2,5,10
5,5,5,5
5,10,5,12
10,1,5,6
10,2,5,9
10,5,5,14
10,10,5,13
1,1,10,10
1,2,10,4
1,5,10,12
1,10,10,8
2,1,10,13
2,2,10,11
2,5,10,9
2,10,10,8
5,1,10,10
5,2,10,7
5,5,10,18
5,10,10,10
10,1,10,7
10,2,10,6
10,5,10,14
10,10,10,13
