1, 1,        5
1, 2,        5
1, 3,        8
1, 4,        5
1, 5,        8
1, 10,        6
1, 20,        5
1, 30,        5
1, 40,        5
1, 50,        3
1, 100,       12
2, 1,       12
2, 2,       10
2, 3,       15
2, 4,       14
2, 5,        8
2, 10,       12
2, 20,       13
2, 30,       13
2, 40,       13
2, 50,       16
2, 100,       18
3, 1,        5
3, 2,       18
3, 3,       17
3, 4,       12
3, 5,       13
3, 10,       13
3, 20,       11
3, 30,       11
3, 40,       11
3, 50,       17
3, 100,       14
4, 1,        7
4, 2,        7
4, 3,       12
4, 4,       15
4, 5,        6
4, 10,       12
4, 20,        9
4, 30,       13
4, 40,       13
4, 50,       21
4, 100,        8
5, 1,        8
5, 2,       10
5, 3,       12
5, 4,       19
5, 5,       19
5, 10,       14
5, 20,       10
5, 30,       14
5, 40,       17
5, 50,       14
5, 100,       12
10, 1,        9
10, 2,        7
10, 3,       11
10, 4,        7
10, 5,       10
10, 10,       15
10, 20,        9
10, 30,       10
10, 40,       14
10, 50,       13
10, 100,       12
20, 1,        2
20, 2,        5
20, 3,       10
20, 4,       11
20, 5,        8
20, 10,        8
20, 20,        9
20, 30,        5
20, 40,       12
20, 50,        8
20, 100,        9
30, 1,        7
30, 2,        6
30, 3,        7
30, 4,        6
30, 5,        8
30, 10,       10
30, 20,        9
30, 30,        7
30, 40,       11
30, 50,        8
30, 100,        5
40, 1,        4
40, 2,        2
40, 3,        9
40, 4,        9
40, 5,       10
40, 10,        9
40, 20,       10
40, 30,       14
40, 40,        9
40, 50,        8
40, 100,        7
50, 1,        3
50, 2,        5
50, 3,        3
50, 4,        7
50, 5,        9
50, 10,        6
50, 20,        6
50, 30,        9
50, 40,        7
50, 50,        4
50, 100,       10
100, 1,        6
100, 2,        5
100, 3,        6
100, 4,       14
100, 5,        8
100, 10,       10
100, 20,        8
100, 30,        5
100, 40,       12
100, 50,        9
100, 100,        0
100, 100,        7
